project	commit	function
openssl	00885c2fc037056fda534f8cfac3b295b26e6017	qtx_resize_txe
openssl	793d3f4259b07d85ac77bb5975b6b6aa7657da80	ecdsa_s390x_nistp_sign_sig
openssl	b1e1a3b78f93225757b00122648aee07983ee5e5	pkey_rsa_verifyrecover
openssl	372acaf5106e10230850d69d1a938179b9bf39a9	ct_extract_ocsp_response_scts
openssl	88a1fbb8d1b22a7c54483e50eed9ca77d28ee441	objs_free_locks
openssl	316869eea04f8bb5cbae59b7b9dfb224ff45e6a6	newpass_p12
openssl	1dcdc7fcebfbda72ab3b838c1d20d71705f74789	tls_construct_ctos_early_data
openssl	90740c80fe0c379ab0a62a9b40be983bb8dcdc14	server-arg.c::main
openssl	40480fc1c5314a1c13e6a108f9cc23082e44c859	tls_construct_ctos_key_share
openssl	1dcdc7fcebfbda72ab3b838c1d20d71705f74789	tls_construct_ctos_early_data
freetype	08805be530d6820d2bf8a1b7685826de40f06812	TT_Process_Composite_Component
freetype	670d0b2121d7c3f91137c0da2d0deab199684691	TT_Vary_Apply_Glyph_Deltas
freetype	47d80cf27b05d1062fbe5d3d368c1bac7ff1a20c	Ins_ODD
freetype	c6abd1e40afcac8d12257415a6be6c4fddc2ce01	af_latin_stretch_top_tilde
freetype	d3fbbed91fa915b2131954163ab32f4651f69273	af_glyph_hints_apply_vertical_separation_adjustments
libxml2	24d7e15914588cb45e7fb41cbe4fcf785e1a4861	schematronTest
libxml2	a3d2c17713aee26586feb4cc578bd2bbb9391dd9	target_include_directories
libxml2	499bcb78ab389f60c2fd634ce410d4bb85c18765	xmlSchematronFormatReport
libxml2	069bcda17d8194e9582c64dd4bc9dac99b015810	xmllintShell
libxml2	1b737cc810fcacb52505bb5b5de66056eb4c26f4	xmlParseCharDataInternal
libxml2	ad0f5d27c457863c986c2ef447311b9e5d044f8c	xmlGetLineNo
tcpdump	28afdbc0faf3508b992a4b6af6b1b5f6f3a3a434	asn1_print
tcpdump	2d2576dd01d1e4cb19043eab797026696967586f	dump_packet_and_trunc
tcpdump	bc371283307b806dcc00b845dc00744f298e61ae	tcpdump.c::main
